category,username,wallet,profile_url,open_positions,open_cash_pnl,open_realized_pnl,open_initial_value,open_current_value,closed_positions,closed_pnl,total_pnl
Sports,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,https://polymarket.com/profile/0x204f72f35326db932158cba6adff0b9a1da95e14,500,204631.54,0,676581.53,881213.11,50,0,204631.54
Sports,RN1,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,https://polymarket.com/profile/0x2005d16a84ceefa912d4e380cd32e7ff827875ea,500,178816.31,830.29,240922.35,419738.67,50,0,178816.31
"Finance, Culture",Anjun,0x43372356634781eea88d61bbdd7824cdce958882,https://polymarket.com/profile/0x43372356634781eea88d61bbdd7824cdce958882,500,174437.38,80487.43,246982.56,421419.95,0,0,174437.38
Culture,wokerjoesleeper,0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,https://polymarket.com/profile/0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,500,111121.37,35204.68,287918.85,399040.26,50,0,111121.37
"Culture,Economics",ImJustKen,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,https://polymarket.com/profile/0x9d84ce0306f8551e02efef1680475fc0f1dc1344,500,70929.37,113160.39,323546.89,394476.29,50,0,70929.37
Culture,WordleAddict,0xe25b9180f5687aa85bd94ee309bb72a464320f1b,https://polymarket.com/profile/0xe25b9180f5687aa85bd94ee309bb72a464320f1b,7,54908.08,9280.36,345605.39,400513.46,50,0,54908.08
"Finance, Economics",ArmageddonRewardsBilly,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,https://polymarket.com/profile/0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,500,54246.01,10224.26,1508933.14,1563179.19,50,0,54246.01
Tech,Dropper,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,https://polymarket.com/profile/0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,38,31225.94,-36922.48,262055.93,293281.87,50,0,31225.94
Culture,influenz.eth,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,https://polymarket.com/profile/0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,500,23788.6,95594.49,10726.29,34514.93,50,0,23788.6
Sports,simonbanza,0x5350afcd8bd8ceffdf4da32420d6d31be0822fda,https://polymarket.com/profile/0x5350afcd8bd8ceffdf4da32420d6d31be0822fda,4,23722.57,0,32620.24,56342.81,50,0,23722.57
"Finance, Culture, Economics",cigarettes,0xd218e474776403a330142299f7796e8ba32eb5c9,https://polymarket.com/profile/0xd218e474776403a330142299f7796e8ba32eb5c9,500,22434.06,218077.97,57293.73,79727.83,50,0,22434.06
Tech,send-tips-plz,0x17ce7c9a7f768bfa98946caf7d64c9e051f5beec,https://polymarket.com/profile/0x17ce7c9a7f768bfa98946caf7d64c9e051f5beec,56,16830.79,15265.75,121967.17,138797.97,50,0,16830.79
Sports,SeriouslySirius,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,https://polymarket.com/profile/0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,500,15882.41,0,220247.03,236129.44,50,0,15882.41
Economics,pako,0x71edffd0d70a1da823ff07a3c6fc81457294d338,https://polymarket.com/profile/0x71edffd0d70a1da823ff07a3c6fc81457294d338,42,15253.71,-2817.92,701760.45,717014.16,50,0,15253.71
Economics,bobe2,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,https://polymarket.com/profile/0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,11,7670.87,-1022.3,5152452.23,5160123.1,50,0,7670.87
Tech,ProfessionalPunter,0x22e4248bdb066f65c9f11cd66cdd3719a28eef1c,https://polymarket.com/profile/0x22e4248bdb066f65c9f11cd66cdd3719a28eef1c,23,7236.16,460.3,115065.71,122301.86,50,0,7236.16
Sports,ilovecircle,0xa9878e59934ab507f9039bcb917c1bae0451141d,https://polymarket.com/profile/0xa9878e59934ab507f9039bcb917c1bae0451141d,9,2932.29,-159.01,9461.45,12393.74,50,0,2932.29
